Structure: Image,SMILES,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1
,C\C=C(/C)\C=N\O,1740520.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740520&database=RX&origin=ReaxysOutput&ln=,(3002 of 4000),28052-08-6,(E)-2-methyl-but-2-enal (E)-oxime; 2-methyl-crotonaldehyde-oxime; α.β-Dimethyl-acrolein-oxim; 2-Methyl-buten-(2)-al-(1)-oxim; Tiglinaldehyd-oxim; 2-Methyl-crotonaldehyd-oxim,C5H9NO,C5H9NO,99.1326,acyclic,,XUJRIQCLSRINJB-GGWOSOGESA-N,,,,Identification(6); Physical Data(8); Spectra(3); Bioactivity(1),1.0,9.0,35 - 38,,,,,,"Article; Acton et al.; Journal of Agricultural and Food Chemistry; vol. 18; (1970); p. 1061,1064;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3603259&database=RX&origin=ReaxysOutput&ln=
,CNC(=O)C(C)=C,1740899.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740899&database=RX&origin=ReaxysOutput&ln=,(3003 of 4000),3887-02-3,"N-methyl methacrylamide; N-Methyl-methacrylamid; Methylmethacrylamid; N,2-dimethyl-2-propenamide",CH2C(CH3)CONHCH3,C5H9NO,99.1326,acyclic,,WFKDPJRCBCBQNT-UHFFFAOYSA-N,,,,Identification(70); Physical Data(20); Spectra(6),63.0,106.0,0.8 - 0.9,,,,,,"Article; Heyboer; Staverman; Recueil des Travaux Chimiques des Pays-Bas; vol. 69; (1950); p. 787,797;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1188941&database=RX&origin=ReaxysOutput&ln=
,CNC(=O)C=CC,1740904.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740904&database=RX&origin=ReaxysOutput&ln=,(3004 of 4000),38902-81-7; 1189-03-3; 70265-04-2,crotonyl methanamine; N-Methyl-crotonamid; N-methylcrotonamide; N-methylbut-2-enamide; CH3CH=CHCONHMe; but-2-enoic acid methylamide,C5H9NO,C5H9NO,99.1326,acyclic,,XYLJOGVVSQGQIY-UHFFFAOYSA-N,,,,Identification(9); Physical Data(2); Spectra(4),15.0,10.0,67 - 69,,,,,,"Article; Rekker,R.F.; Nauta,W.T.; Recueil des Travaux Chimiques des Pays-Bas; vol. 83; (1964); p. 1039 - 1046;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D204667&database=RX&origin=ReaxysOutput&ln=
,CCC(=C)C(N)=O,1740924.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1740924&database=RX&origin=ReaxysOutput&ln=,(3005 of 4000),4461-13-6,2-Methylenbutyramid; 2-ethylacrylamide; 2-ethyl-acrylic acid amide; 2-Aethyl-acrylsaeure-amid,C5H9NO,C5H9NO,99.1326,acyclic,,LPNSCOVIJFIXTJ-UHFFFAOYSA-N,,,,Identification(10); Physical Data(2); Spectra(2),10.0,11.0,87.4 - 87.8,,,,,,"Article; Bruylants; Ernould; Dekoker; Bulletin des Societes Chimiques Belges; vol. 39; (1930); p. 386,389,391; Bulletin de la Classe des Sciences, Academie Royale de Belgique; vol. &lt;5&gt;16; (1930); p. 730,734,736;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1160603&database=RX&origin=ReaxysOutput&ln=
,CC(C)=CC(N)=O,1741008.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1741008&database=RX&origin=ReaxysOutput&ln=,(3006 of 4000),4479-75-8,"3-methyl-2-butenamide; 3-methylbut-2-enamide; 3,3-Dimethyl-acrylsaeureamid; 3,3-dimethylacrylamide",C5H9NO,C5H9NO,99.1326,acyclic,,WHNPOQXWAMXPTA-UHFFFAOYSA-N,,,,Identification(20); Physical Data(15); Spectra(12); Bioactivity(5),72.0,50.0,106 - 107,,,,,,"Article; Kanaoka,Y. et al.; Journal of Organic Chemistry; vol. 44; 10; (1979); p. 1749 - 1751;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D194906&database=RX&origin=ReaxysOutput&ln=
,NC(=O)CCC=C,1742051.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1742051&database=RX&origin=ReaxysOutput&ln=,(3007 of 4000),6852-94-4,4-pentenamide; pent-4-enamide; pent-4-enoic acid amide; Allylessigsaeureamid,C5H9NO,C5H9NO,99.1326,acyclic,,DVFGVGYKHMQZJC-UHFFFAOYSA-N,,,,Identification(31); Physical Data(17); Spectra(18),95.0,50.0,71.2 - 73.4,,supporting information,,,,"Article; Fu, Shaomin; Yang, Honghao; Deng, Yuanfu; Jiang, Huanfeng; Zeng, Wei; Li, Guoqiang; Organic Letters; vol. 17; 4; (2015); p. 1018 - 1021;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D65646928&database=RX&origin=ReaxysOutput&ln=
,CC(=C)CC(N)=O,1743211.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743211&database=RX&origin=ReaxysOutput&ln=,(3008 of 4000),18938-03-9,3-methyl-but-3-enoic acid amide; 3-Methyl-but-3-ensaeure-amid; 3-Methyl-but-3-enamid; isopropenyl acetamide,C5H9NO,C5H9NO,99.1326,acyclic,,FQGPWDVZYOJHCB-UHFFFAOYSA-N,,,,Identification(5); Physical Data(8); Spectra(6),14.0,10.0,118 - 119,ethyl acetate; petroleum ether,,,,,Article; Marson; Grabowska; Fallah; Walsgrove; Eggleston; Baures; Journal of Organic Chemistry; vol. 59; 2; (1994); p. 291 - 296;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5857151&database=RX&origin=ReaxysOutput&ln=
,CC(C=C)C(N)=O,1743426.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743426&database=RX&origin=ReaxysOutput&ln=,(3009 of 4000),,2-methyl-but-3-enoic acid amide; 2-Methyl-but-3-ensaeure-amid; vinylmethylacetamide,C5H9NO,C5H9NO,99.1326,acyclic,,JDBWESWWTKTKOL-UHFFFAOYSA-N,,,,Identification(9); Physical Data(1),19.0,10.0,98,benzene; petroleum ether,,,,,Article; Lane; Roberts; Young; Journal of the American Chemical Society; vol. 66; (1944); p. 543;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D1160689&database=RX&origin=ReaxysOutput&ln=
,CCNC=CC=O,1743577.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1743577&database=RX&origin=ReaxysOutput&ln=,(3010 of 4000),17425-54-6,N-ethylaminopropenal; 3-Ethylamino-acrolein; β-N-Ethylamino-acrylaldehyd; β-Aethylaminoacrolein; β-Aethylamino-acrylaldehyd; 3-Aethylamino-acrylaldehyd; 3-ethylamino-acrylaldehyde; Propandial-mono-aethylimin; 3-Aethylamino-acrolein,C5H9NO,C5H9NO,99.1326,acyclic,,UAHXAGZQAXKUNS-UHFFFAOYSA-N,,,,Identification(9); Physical Data(11); Spectra(8),4.0,7.0,20 - 23,,,,,,"Article; Wille,F. et al.; Monatshefte fur Chemie; vol. 110; (1979); p. 613 - 638;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D15554&database=RX&origin=ReaxysOutput&ln=
,CCC(=O)NC=C,1849327.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1849327&database=RX&origin=ReaxysOutput&ln=,(3011 of 4000),40652-23-1,N-vinylpropionamide,C5H9NO,C5H9NO,99.1326,acyclic,,IUWVWLRMZQHYHL-UHFFFAOYSA-N,,,,Identification(12); Physical Data(5); Spectra(6),7.0,9.0,38 - 39,,,,,,"Article; Kurtz,P.; Disselnkoetter,H.; Justus Liebigs Annalen der Chemie; vol. 764; (1972); p. 69 - 93;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D79677&database=RX&origin=ReaxysOutput&ln=
,CC(N)(CO)C#C,1849519.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1849519&database=RX&origin=ReaxysOutput&ln=,(3012 of 4000),,3-Amino-3-methylbut-1-in-4-ol,C5H9NO,C5H9NO,99.1326,acyclic,,VBFKHVWKOWZXLZ-UHFFFAOYSA-N,,,,Identification(7); Physical Data(2),1.0,2.0,145 - 146,,,,,,Patent; GLAXOSMITHKLINE PLC; NL6511503; (1966); A; Chem.Abstr.; vol. 65; 3745c; (1966); Chem.Abstr.; vol. 65; 3745c; (1966);,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3581102&database=RX&origin=ReaxysOutput&ln=
,CC(=C)NC(C)=O,1849881.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1849881&database=RX&origin=ReaxysOutput&ln=,(3013 of 4000),14001-34-4,N-(prop-1-en-2-yl)acetamide,C5H9NO,C5H9NO,99.1326,acyclic,,RFGFCICNGCPXQJ-UHFFFAOYSA-N,,,,Identification(15); Physical Data(5); Spectra(6),10.0,16.0,72 - 77,,,,,,"Article; Coussanes, Guilhem; Gaus, Katharina; O'Sullivan, Anthony C.; European Journal of Organic Chemistry; vol. 2016; 24; (2016); p. 4176 - 4188;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69472440&database=RX&origin=ReaxysOutput&ln=
,ON=C1CCCC1,1853228.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1853228&database=RX&origin=ReaxysOutput&ln=,(3014 of 4000),1192-28-5,Cyclopentanone oxime,(C4H8)CNOH,C5H9NO,99.1326,isocyclic,,YGNXYFLJZILPEK-UHFFFAOYSA-N,,,,Identification(77); Physical Data(49); Spectra(44); Bioactivity(22),398.0,392.0,57 - 58,,,,,,"Article; Kandale, Ajit; Patel, Khushboo; Hussein, Waleed M.; Wun, Shun Jie; Zheng, Shan; Tan, Lendl; West, Nicholas P.; Schenk, Gerhard; Guddat, Luke W.; McGeary, Ross P.; Journal of Medicinal Chemistry; vol. 64; 3; (2021); p. 1670 - 1684;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D82968868&database=RX&origin=ReaxysOutput&ln=
,NC(=O)C1CCC1,1854153.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1854153&database=RX&origin=ReaxysOutput&ln=,(3015 of 4000),1503-98-6,cyclobutyl amide; cyclobutanecarboxamide; cyclobutyl carboxamide; Cyclobutan-carbonsaeure-amid,C5H9NO,C5H9NO,99.1326,isocyclic,,MFNYBOWJWGPXFM-UHFFFAOYSA-N,,,,Identification(34); Physical Data(11); Spectra(10); Bioactivity(6),52.0,64.0,152 - 153,,,,,,"Article; Almond, Merrick R.; Stimmel, Julie B.; Thompson, E. Alan; Loudon, G. Marc; Organic Syntheses; vol. 66; (1988); p. 132 - 132;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D71223137&database=RX&origin=ReaxysOutput&ln=
,C\C=C/NC(C)=O,1902598.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1902598&database=RX&origin=ReaxysOutput&ln=,(3016 of 4000),5202-79-9,(Z)-N-(prop-1-en-1-yl)acetamide,C5H9NO,C5H9NO,99.1326,acyclic,,MUCPRRDAVFMYOG-ARJAWSKDSA-N,,,,Identification(15); Physical Data(6); Spectra(16),20.0,15.0,67 - 70,,,,,,"Article; Min, Geanna K.; Skrydstrup, Troels; Journal of Organic Chemistry; vol. 77; 14; (2012); p. 5894 - 5906;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20185155&database=RX&origin=ReaxysOutput&ln=
,C\C=C\NC(C)=O,1902599.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1902599&database=RX&origin=ReaxysOutput&ln=,(3017 of 4000),5202-80-2,(E)-N-(prop-1-en-1-yl)acetamide,C5H9NO,C5H9NO,99.1326,acyclic,,MUCPRRDAVFMYOG-ONEGZZNKSA-N,,,,Identification(14); Physical Data(4); Spectra(7),12.0,14.0,72 - 74,,,,,,"Article; Min, Geanna K.; Skrydstrup, Troels; Journal of Organic Chemistry; vol. 77; 14; (2012); p. 5894 - 5906;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D20185155&database=RX&origin=ReaxysOutput&ln=
,CC1(CC1)C(N)=O,1926018.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1926018&database=RX&origin=ReaxysOutput&ln=,(3018 of 4000),15910-91-5,1-methylcyclopropanecarboxamide,C5H9NO,C5H9NO,99.1326,isocyclic,,HLCXNVMIINTAOG-UHFFFAOYSA-N,,,,Identification(20); Physical Data(7); Spectra(5),23.0,33.0,143,,,,,,"Article; Vaidyanathan, Ganesan; Wilson, Joseph W.; Journal of Organic Chemistry; vol. 54; 8; (1989); p. 1815 - 1820;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5636711&database=RX&origin=ReaxysOutput&ln=
,CNC(=O)C1CC1,1926155.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D1926155&database=RX&origin=ReaxysOutput&ln=,(3019 of 4000),7108-40-9,N-methylcyclopropanecarboxamide; N-Methyl-cyclopropancarboxamid,C5H9NO,C5H9NO,99.1326,isocyclic,,BVNIREPGHLFKNZ-UHFFFAOYSA-N,,,,Identification(32); Physical Data(10); Spectra(5),24.0,36.0,56 - 57,hexane; diethyl ether,,,,,Article; Giardina; Clarke; Dondio; Petrone; Sbacchi; Vecchietti; Journal of Medicinal Chemistry; vol. 37; 21; (1994); p. 3482 - 3491;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5947490&database=RX&origin=ReaxysOutput&ln=
,CC(=NO)C1CC1,2204675.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2204675&database=RX&origin=ReaxysOutput&ln=,(3020 of 4000),51761-72-9,Cyclopropylmethylketoxim; cyclopropyl methyl ketone oxime,C5H9NO,C5H9NO,99.1326,isocyclic,,HTMLLPBZMWBCDN-UHFFFAOYSA-N,,,,Identification(13); Physical Data(9); Spectra(10),32.0,25.0,49 - 50,benzene,,,,,"Article; Stashkevich, A.N.; Usenko, Yu.N.; Grigor'ev, A.A.; Journal of Organic Chemistry USSR (English Translation); vol. 27; 7; (1991); p. 1378 - 1379; Zhurnal Organicheskoi Khimii; vol. 27; 7; (1991); p. 1576;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5658226&database=RX&origin=ReaxysOutput&ln=
,C\C(=N/O)C1CC1,2204677.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2204677&database=RX&origin=ReaxysOutput&ln=,(3021 of 4000),80606-74-2,(anti)-cyclopropyl methyl ketone oxime; methyl cyclopropyl ketone oxime; 1-cyclopropylethanone oxime; E-Cyclopropyl-methylketonoxim; cyclopropyl methyl ketoxime,C5H9NO,C5H9NO,99.1326,isocyclic,,HTMLLPBZMWBCDN-GQCTYLIASA-N,,,,Identification(12); Physical Data(2); Spectra(4),7.0,7.0,38 - 40,,,,,,"Article; Simunic-Meznaric, Vesna; Mihalic, Zlatko; Vancik, Hrvoj; Journal of the Chemical Society. Perkin Transactions 2 (2001); 12; (2002); p. 2154 - 2158;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D6384277&database=RX&origin=ReaxysOutput&ln=
,[H]\C(=C(\C)N)C(C)=O,2322290.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2322290&database=RX&origin=ReaxysOutput&ln=,(3022 of 4000),80012-14-2,(E)-4-amino-pent-3-en-2-one; 2-Aminopent-2-en-4-on,C5H9NO,C5H9NO,99.1326,acyclic,,OSLAYKKXCYSJSF-ONEGZZNKSA-N,,,,Identification(19); Physical Data(1); Spectra(5),67.0,37.0,45,ethyl acetate; petroleum ether,,,,,"Article; Compton, Bruce Jon; Purdy, William C.; Canadian Journal of Chemistry; vol. 58; 21; (1980); p. 2207 - 2211;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5681764&database=RX&origin=ReaxysOutput&ln=
,CNC(CO)C#C,2345841.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2345841&database=RX&origin=ReaxysOutput&ln=,(3023 of 4000),19699-27-5,4-Hydroxy-3-methylamino-butin-(1),C5H9NO,C5H9NO,99.1326,acyclic,,YSJHGGRDUPUHOS-UHFFFAOYSA-N,,,,Identification(7); Physical Data(2); Spectra(1),1.0,2.0,67 - 68.5,diethyl ether; petroleum ether,,,,,"Article; Mavrov,M.V. et al.; Tetrahedron; vol. 25; (1969); p. 3277 - 3285;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D89374&database=RX&origin=ReaxysOutput&ln=
,C[C@@H]1C[C@H]1C(N)=O,2349553.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2349553&database=RX&origin=ReaxysOutput&ln=,(3024 of 4000),107912-92-5,,C5H9NO,C5H9NO,99.1326,isocyclic,,FGJUPRFXIMWVNF-QWWZWVQMSA-N,,,,Identification(6); Physical Data(1),1.0,1.0,108 - 108.5,,,,,,"Article; Sugita,T.; Inouye,Y.; Bulletin of the Chemical Society of Japan; vol. 39; (1966); p. 1075 - 1076;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D107451&database=RX&origin=ReaxysOutput&ln=
,NC(=O)CC1CC1,2573068.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2573068&database=RX&origin=ReaxysOutput&ln=,(3025 of 4000),89580-05-2,2-cyclopropylacetamide; Cyclopropyl-acetamid; cyclopropylmethylamide,C5H9NO,C5H9NO,99.1326,isocyclic,,JBSLANHIBKBQGE-UHFFFAOYSA-N,,,,Identification(9); Physical Data(2); Spectra(1); Bioactivity(3),25.0,8.0,122.5 - 123.7,,,,,,"Article; Cartier,G.E.; Bunce,S.C.; Journal of the American Chemical Society; vol. 85; (1963); p. 932 - 937;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D52488&database=RX&origin=ReaxysOutput&ln=
,C[C@@H]1C[C@@H]1C(N)=O,2612339.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2612339&database=RX&origin=ReaxysOutput&ln=,(3026 of 4000),1759-49-5; 6142-58-1; 81428-99-1; 107912-92-5; 107912-93-6,cis-2-Methylcyclopropancarbonsaeureamid,C5H9NO,C5H9NO,99.1326,isocyclic,,FGJUPRFXIMWVNF-DMTCNVIQSA-N,,,,Identification(6); Physical Data(1),1.0,1.0,128 - 128.5,CH2Cl2; pentane,,,,,"Article; Applequist; Peterson; Journal of the American Chemical Society; vol. 82; (1960); p. 2372,2374;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3821221&database=RX&origin=ReaxysOutput&ln=
,C[C@H]1C[C@@H]1C(N)=O,2612340.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2612340&database=RX&origin=ReaxysOutput&ln=,(3027 of 4000),1759-49-5; 6142-58-1; 81428-99-1; 107912-92-5; 107912-93-6,trans-2-Methylcyclopropancarbonsaeure-amid,C5H9NO,C5H9NO,99.1326,isocyclic,,FGJUPRFXIMWVNF-IMJSIDKUSA-N,,,,Identification(7); Physical Data(1); Spectra(1),1.0,2.0,111.3 - 112,,,,,,"Article; Applequist; Peterson; Journal of the American Chemical Society; vol. 82; (1960); p. 2372,2374;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D3821221&database=RX&origin=ReaxysOutput&ln=
,CC(=O)NC1CC1,2715560.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2715560&database=RX&origin=ReaxysOutput&ln=,(3028 of 4000),29512-07-0,N-cyclopropylacetamide,C5H9NO,C5H9NO,99.1326,isocyclic,,DUUADMGTZDJNRI-UHFFFAOYSA-N,,,,Identification(22); Physical Data(10); Spectra(18),32.0,23.0,51 - 53,diethyl ether,,,,,Article; Sraga; Guerry; Kompis; Helvetica Chimica Acta; vol. 77; 4; (1994); p. 1057 - 1064;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5903542&database=RX&origin=ReaxysOutput&ln=
,NC1CCCC1=O,2801984.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2801984&database=RX&origin=ReaxysOutput&ln=,(3029 of 4000),339362-68-4,2-Amino-cyclopentanon,C5H9NO,C5H9NO,99.1326,isocyclic,,XBPWUNNYJOLFGX-UHFFFAOYSA-N,,,,Identification(12); Physical Data(4),11.0,10.0,145 - 146,,,,,,"Article; Ferris,J.P.; Trimmer,R.W.; Journal of Organic Chemistry; vol. 41; (1976); p. 19 - 24;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D190888&database=RX&origin=ReaxysOutput&ln=
,C[C@H]1C[C@H]1C(N)=O,3125141.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3125141&database=RX&origin=ReaxysOutput&ln=,(3030 of 4000),1759-49-5; 6142-58-1; 81428-99-1; 107912-92-5; 107912-93-6,(+/-)-cis-<2-Methyl-cyclopropyl>-carbonsaeureamid; (+/-)-cis-2-methyl-cyclopropane-carboxylic acid-(1)-amide; (+/-)-cis-2-Methyl-cyclopropan-carbonsaeure-(1)-amid,C5H9NO,C5H9NO,99.1326,isocyclic,racemate,FGJUPRFXIMWVNF-IUYQGCFVSA-N,,,,Identification(6); Physical Data(2); Spectra(1),5.0,6.0,99 - 100,,,,,,"Article; Cloke et al.; Journal of the American Chemical Society; vol. 67; (1945); p. 1587,1590;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D991828&database=RX&origin=ReaxysOutput&ln=
,CC1CC1C(N)=O,3233064.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D3233064&database=RX&origin=ReaxysOutput&ln=,(3031 of 4000),81428-99-1,2-methylcyclopropanecarboxamide; 2-methyl-cyclopropanecarboxylic acid amide; 2-Methyl-cyclopropancarbonsaeure-amid; trans-2-methylcyclopropanecarboxylic acid amide,C5H9NO,C5H9NO,99.1326,isocyclic,,FGJUPRFXIMWVNF-UHFFFAOYSA-N,,,,Identification(11); Physical Data(3); Bioactivity(3),5.0,8.0,99.5 - 100,benzene; light petroleum,,,,,Article; Kishner; Bulletin de la Societe Chimique de France; vol. &lt;4&gt; 45; (1929); p. 768; Zhurnal Russkago Fiziko-Khimicheskago Obshchestva; vol. 61; (1929); p. 781;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D562306&database=RX&origin=ReaxysOutput&ln=
,N[C@@H]1C=CC[C@H]1O,4126928.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4126928&database=RX&origin=ReaxysOutput&ln=,(3032 of 4000),69668-52-6,"trans-(3R,4R)-3-Amino-4-hydroxycyclopenten; (3R,4R)-3-amino-4-hydroxycyclopentene",C5H9NO,C5H9NO,99.1326,isocyclic,,LVWZAQSLUSAOPQ-RFZPGFLSSA-N,,,,Identification(6); Physical Data(2),2.0,4.0,86.5 - 88.5,,,,,,"Article; Kelly,R.C. et al.; Journal of the American Chemical Society; vol. 101; (1979); p. 1054 - 1056;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D74541&database=RX&origin=ReaxysOutput&ln=
,C[C@H]1CCC(=O)N1,4291039.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4291039&database=RX&origin=ReaxysOutput&ln=,(3035 of 4000),1558-60-7,(S)-5-methylpyrrolidin-2-one; (5S)-5-methylpyrrolidin-2-one,C5H9NO,C5H9NO,99.1326,heterocyclic,,YVIVRJLWYJGJTJ-BYPYZUCNSA-N,,,,Identification(17); Physical Data(17); Spectra(22),97.0,25.0,43 - 44,,,,,,"Article; Mourelle-Insua, Ángela; Zampieri, Luiz Arthur; Lavandera, Iván; Gotor-Fernández, Vicente; Advanced Synthesis and Catalysis; vol. 360; 4; (2018); p. 686 - 695;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D73192561&database=RX&origin=ReaxysOutput&ln=
,ONC1CCC=C1,4781312.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4781312&database=RX&origin=ReaxysOutput&ln=,(3036 of 4000),606488-35-1,N-(2-cyclopentenyl)hydroxylamine,C5H9NO,C5H9NO,99.1326,isocyclic,,HQKOSYPEFDEOSB-UHFFFAOYSA-N,,,,Identification(7); Physical Data(1); Spectra(3),2.0,2.0,69,diethyl ether; pentane,,,,,"Article; Kresse, G.; Vasella, A.; Felber, H.; Ritter, A.; Ascherl, B.; Recueil des Travaux Chimiques des Pays-Bas; vol. 105; (1986); p. 295 - 298;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5823131&database=RX&origin=ReaxysOutput&ln=
,ON[C@H]1CCC=C1,4781316.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4781316&database=RX&origin=ReaxysOutput&ln=,(3037 of 4000),106348-45-2,(1S)-(-)-N-(cyclopent-2-en-1-yl)hydroxylamine,C5H9NO,C5H9NO,99.1326,isocyclic,,HQKOSYPEFDEOSB-RXMQYKEDSA-N,,,,Identification(6); Physical Data(2); Spectra(4),2.0,1.0,76,diethyl ether; pentane,,,,,Article; Braun; Felber; Kresse; Ritter; Schmidtchen; Schneider; Tetrahedron; vol. 47; 20-21; (1991); p. 3313 - 3328;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2376840&database=RX&origin=ReaxysOutput&ln=
,CC#CC(O)CN,4951366.0,https://www.reaxys.com/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D4951366&database=RX&origin=ReaxysOutput&ln=,(3038 of 4000),112069-78-0,1-amino-3-pentyn-2-ol,C5H9NO,C5H9NO,99.1326,acyclic,,RLEKTEJRFYHMEF-UHFFFAOYSA-N,,,,Identification(6); Physical Data(1); Spectra(4),5.0,1.0,31 - 33,diethyl ether; pentane,,,,,"Article; Doedens, Robert J.; Meier, Guy P.; Overman, Larry E.; Journal of Organic Chemistry; vol. 53; 3; (1988); p. 685 - 690;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D5640427&database=RX&origin=ReaxysOutput&ln=
